timestamp,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,roll,pitch,yaw,rc0,rc1,rc2,rc3,vol,cur_raw,cur,power,vel,,,,,,,,,,,,,,,,
247.253610134,4.4114732742,0.5355364084,-0.1639450789,0.1643118262,-1.5336612463,11.7338581085,0,0,0,1898,1488,1543,1523,15.2189998627,912,19.53125,297.246091068,222.3441796101,,,,,,,,,,,,,,,,
247.355859995,4.9915513992,0.59378016,-0.1677874923,-0.924977541,-1.4170188904,12.9347000122,0,0,0,1898,1489,1543,1523,15.2189998627,915,19.677734375,299.475436751,251.4772002182,,,,,,,,,,,,,,,,
247.45423007,5.340968132,0.6210295558,-0.2061426938,3.3271830082,0.9906334877,8.3754997253,0,0,0,1897,1489,1543,1523,15.2150001526,959,21.826171875,332.085208409,269.0451314669,,,,,,,,,,,,,,,,
247.556513071,5.9285678864,0.6678820848,-0.2927998304,1.4741357565,-4.6192088127,10.3016119003,0,0,0,1876,1488,1543,1523,15.2150001526,941,20.947265625,318.712649681,298.6624993347,,,,,,,,,,,,,,,,
247.655174971,6.271030426,0.6600100398,-0.3086943328,1.0027372837,-4.3740019798,10.4597234726,0,0,0,1852,1488,1543,1525,15.2030000687,876,17.7734375,270.209571534,315.6609258665,,,,,,,,,,,,,,,,
247.757745981,6.4601264,0.6791583896,-0.2561160922,-1.8305418491,0.0854817927,8.7363367081,0,0,0,1845,1488,1543,1523,15.2030000687,807,14.404296875,218.98852638,325.0387848966,,,,,,,,,,,,,,,,
247.855992079,6.5262055397,0.7174543738,-0.0884100199,-1.892131567,-4.4869594574,13.4007673264,0,0,0,1845,1488,1543,1523,15.2130002975,752,11.71875,178.277347236,328.3059390893,,,,,,,,,,,,,,,,
247.953990936,6.5299134255,0.7367231846,-0.0575601682,1.0719895363,-4.1841254234,1.8448348045,0,0,0,1845,1490,1543,1523,15.2130002975,729,10.595703125,161.192434793,328.5796842785,,,,,,,,,,,,,,,,
248.056265116,6.4924674034,0.7976199389,-0.0982643366,0.0988218859,-3.7022235394,9.8712158203,0,0,0,1845,1490,1543,1523,15.2410001755,767,12.451171875,189.768312732,327.1008500103,,,,,,,,,,,,,,,,
248.154828072,6.4765348434,0.8630033135,-0.1338381767,-2.9026899338,-4.8961086273,13.4294528961,0,0,0,1857,1489,1543,1523,15.2410001755,754,11.81640625,180.09384973,326.7575207797,,,,,,,,,,,,,,,,
248.256921053,6.4944872856,0.8955621719,-0.0915569663,-0.1894993484,-4.8216423988,19.3977127075,0,0,0,1876,1489,1543,1525,15.267999649,700,9.1796875,140.155465528,327.829145229,,,,,,,,,,,,,,,,
248.35573101,6.5123543739,0.9273767471,-0.1456994861,2.9552638531,-4.8842306137,7.136100769,0,0,0,1883,1490,1544,1523,15.267999649,701,9.228515625,140.900973323,328.9833410014,,,,,,,,,,,,,,,,
248.457572937,6.6063666344,0.897847414,-0.1880968809,2.2296798229,-6.3158254623,8.034283638,0,0,0,1884,1489,1543,1523,15.2939996719,629,5.712890625,87.3729473444,333.4875954348,,,,,,,,,,,,,,,,
248.556689024,6.7163629532,0.8700243831,-0.2522489131,-3.4955010414,-1.2345169783,16.9586467743,0,0,0,1885,1489,1543,1523,15.2939996719,747,11.474609375,175.492672016,338.85875841,,,,,,,,,,,,,,,,
248.65845108,6.8057780266,0.8606902957,-0.3252620101,-0.4753759205,-5.0197000504,8.8684148789,0,0,0,1874,1489,1543,1523,15.3149995804,907,19.287109375,295.382071985,343.384615656,,,,,,,,,,,,,,,,
248.756706953,6.9418168068,0.8143905401,-0.3362433612,0.1755788177,-4.5151286125,13.8152475357,0,0,0,1870,1490,1544,1523,15.3149995804,925,20.166015625,308.842520835,349.8753782739,,,,,,,,,,,,,,,,
248.8589921,6.9793481827,0.8026450276,-0.345972091,1.5846489668,-2.0021045208,8.8300971985,0,0,0,1868,1489,1543,1525,15.3229999542,720,10.15625,155.624218285,351.6931787206,,,,,,,,,,,,,,,,
248.957334995,7.0103740692,0.7718760371,-0.3002939522,-0.0759585202,-4.0276331902,7.8057899475,0,0,0,1860,1489,1543,1523,15.3229999542,793,13.720703125,210.242333356,352.9564904648,,,,,,,,,,,,,,,,
249.059818983,6.983271122,0.7147384882,-0.2700086832,-2.0129687786,-5.4026117325,11.7011795044,0,0,0,1861,1490,1544,1523,15.3170003891,727,10.498046875,160.798588069,351.247175643,,,,,,,,,,,,,,,,
249.158180952,6.9713668823,0.7065804601,-0.2658340335,3.2425282002,-2.040112257,9.2981443405,0,0,0,1861,1489,1543,1523,15.3170003891,787,13.427734375,205.672612647,350.6061889342,,,,,,,,,,,,,,,,
249.256556988,6.9545059204,0.6932736635,-0.2717508972,-0.2246120572,-2.8887381554,13.402261734,0,0,0,1860,1490,1544,1523,15.345000267,825,15.283203125,234.520756034,349.7128447724,,,,,,,,,,,,,,,,
249.358835936,6.9357666969,0.6988390088,-0.240123868,1.6119699478,-4.1317791939,11.6057376862,0,0,0,1845,1489,1543,1523,15.345000267,791,13.623046875,209.045657934,348.7509681206,,,,,,,,,,,,,,,,
249.457072973,6.9303970337,0.725948453,-0.2152280509,-0.0140239932,0.5473940372,7.2838749886,0,0,0,1842,1490,1543,1523,15.3489999771,709,9.619140625,147.644189233,348.5818674107,,,,,,,,,,,,,,,,
249.559401035,6.8923068047,0.7695797086,-0.1560852826,1.9163475037,-3.4864907265,5.8081083298,0,0,0,1807,1489,1543,1523,15.3489999771,716,9.9609375,152.890429459,346.8447369986,,,,,,,,,,,,,,,,
249.658005953,6.7237825394,0.783192277,-0.0953804925,0.7951327562,0.4401652217,5.652964592,0,0,0,1712,1492,1543,1523,15.3520002365,767,12.451171875,191.15039357,338.4957134819,,,,,,,,,,,,,,,,
249.760131121,6.5383501053,0.7754325867,-0.068174094,1.4299226999,-2.2230381966,6.089140892,0,0,0,1684,1491,1544,1523,15.3520002365,759,12.060546875,185.153518477,329.2262349171,,,,,,,,,,,,,,,,
249.858449936,6.0973873138,0.7575504184,0.0235846862,2.1307311058,-0.5511361361,7.9288334847,0,0,0,1640,1491,1543,1523,15.359000206,683,8.349609375,128.241652111,307.215603967,,,,,,,,,,,,,,,,
249.960924149,5.4947795868,0.7002422214,0.0835023299,1.735966444,-0.5267433524,8.8325710297,0,0,0,1562,1490,1544,1524,15.359000206,747,11.474609375,176.238527754,276.9923939174,,,,,,,,,,,,,,,,
250.059435129,4.7948207855,0.631213963,0.0952168927,1.0207967758,-2.3098523617,12.4353246689,0,0,0,1535,1490,1543,1523,15.3710002899,751,11.669921875,179.378372524,241.8563813961,,,,,,,,,,,,,,,,
250.161885977,3.953949213,0.5440183878,0.106087096,0.4097484946,-2.8084394932,12.0536241531,0,0,0,1497,1488,1543,1523,15.3710002899,763,12.255859375,188.384818006,199.6304389189,,,,,,,,,,,,,,,,
250.260190964,3.1063170433,0.4483447671,0.0553025715,-0.0496217385,0.6319730282,11.422296524,0,0,0,1510,1488,1543,1523,15.3800001144,716,9.9609375,153.19921989,156.9496493951,,,,,,,,,,,,,,,,
250.358236074,2.3046877384,0.3769769371,-0.0424042605,1.5464316607,-1.7707260847,16.6638622284,0,0,0,1681,1484,1543,1523,15.3800001144,753,11.767578125,180.985352909,116.785008712,,,,,,,,,,,,,,,,
